Receiver,Metric,Band_Hz,Target,Predicted,error,Source,Error,Abs_Error
R_30x00y,t20,2000,1.9494637000876818,2.033627291516901,0.08416359142921914,Initial_Seed,0.08416359142921914,0.08416359142921914
R_30x00y,t20,4000,1.7283309144215306,1.8177313850028167,0.08940047058128608,Initial_Seed,0.08940047058128608,0.08940047058128608
R_30x00y,t20,8000,1.1190407202398613,1.2040659389751547,0.08502521873529334,Initial_Seed,0.08502521873529334,0.08502521873529334
R_40x30y,t20,250,2.3088797109074415,2.1096888179837037,-0.19919089292373782,Initial_Seed,-0.19919089292373782,0.19919089292373782
R_40x30y,t20,500,2.269310960562598,2.2667281729825337,-0.0025827875800641387,Initial_Seed,-0.0025827875800641387,0.0025827875800641387
R_40x30y,t20,1000,1.906945453642093,2.182990774543619,0.2760453209015259,Initial_Seed,0.2760453209015259,0.2760453209015259
R_40x30y,t20,2000,2.00015735657735,2.0527732114334083,0.05261585485605824,Initial_Seed,0.05261585485605824,0.05261585485605824
R_40x30y,t20,4000,1.7134505406232012,1.7994232130883054,0.0859726724651042,Initial_Seed,0.0859726724651042,0.0859726724651042
R_40x30y,t20,8000,1.1538209280348974,1.2123154285346034,0.05849450049970595,Initial_Seed,0.05849450049970595,0.05849450049970595
R_60x15y,t20,125,6.203911889674429,2.138296087718034,-4.065615801956395,Initial_Seed,-4.065615801956395,4.065615801956395
R_60x15y,t20,250,2.1605912368237647,2.1865855581409064,0.025994321317141633,Initial_Seed,0.025994321317141633,0.025994321317141633
R_60x15y,t20,500,2.1601015400130805,2.1777496631083477,0.0176481230952672,Initial_Seed,0.0176481230952672,0.0176481230952672
R_60x15y,t20,1000,1.9201734173887237,2.125876931991382,0.20570351460265845,Initial_Seed,0.20570351460265845,0.20570351460265845
R_60x15y,t20,2000,2.0170344827541955,2.0630346482583093,0.04600016550411379,Initial_Seed,0.04600016550411379,0.04600016550411379
R_60x15y,t20,4000,1.7365657787420206,1.7805961604404874,0.04403038169846685,Initial_Seed,0.04403038169846685,0.04403038169846685
R_60x15y,t20,8000,1.1573123959465188,1.1832427063462767,0.025930310399757905,Initial_Seed,0.025930310399757905,0.025930310399757905
R_00x20y,t20,125,5.643971212346544,2.031181480823028,-3.6127897315235162,Calibrated_GA,-3.6127897315235162,3.6127897315235162
R_00x20y,t20,250,2.211440041572608,2.2167447320538733,0.005304690481265251,Calibrated_GA,0.005304690481265251,0.005304690481265251
R_00x20y,t20,500,2.1185543566886302,2.2105002436753587,0.09194588698672845,Calibrated_GA,0.09194588698672845,0.09194588698672845
R_00x20y,t20,1000,1.8779081891794835,2.0825419961413805,0.20463380696189692,Calibrated_GA,0.20463380696189692,0.20463380696189692
R_00x20y,t20,2000,2.0188694891591314,2.0364885972207216,0.017619108061590172,Calibrated_GA,0.017619108061590172,0.017619108061590172
R_00x20y,t20,4000,1.7492404436901166,1.7577188403179353,0.008478396627818796,Calibrated_GA,0.008478396627818796,0.008478396627818796
R_00x20y,t20,8000,1.1546544929687,1.1963520159928631,0.041697523024163186,Calibrated_GA,0.041697523024163186,0.041697523024163186
R_15x40y,t20,125,5.24870473061876,2.2509147604145334,-2.9977899702042268,Calibrated_GA,-2.9977899702042268,2.9977899702042268
R_15x40y,t20,250,2.2362975029086773,2.2452806142919894,0.008983111383312092,Calibrated_GA,0.008983111383312092,0.008983111383312092
R_15x40y,t20,500,2.04183443304955,2.246251534843936,0.20441710179438566,Calibrated_GA,0.20441710179438566,0.20441710179438566
R_15x40y,t20,1000,1.8425500081023867,2.0922108622597793,0.2496608541573926,Calibrated_GA,0.2496608541573926,0.2496608541573926
R_15x40y,t20,2000,1.975355402317205,2.051844440374115,0.07648903805690987,Calibrated_GA,0.07648903805690987,0.07648903805690987
R_15x40y,t20,4000,1.6921628899740322,1.8401757747444836,0.14801288477045138,Calibrated_GA,0.14801288477045138,0.14801288477045138
R_15x40y,t20,8000,1.1413500485963997,1.1956734205957618,0.0543233719993621,Calibrated_GA,0.0543233719993621,0.0543233719993621
R_30x00y,t20,125,4.5181704440481925,1.9656032602309186,-2.552567183817274,Calibrated_GA,-2.552567183817274,2.552567183817274
