receiver,metric,band_hz,target
R_00x10y,c50,500,-5.346370724987509
R_00x10y,c50,1000,-5.0672097176659
R_00x10y,c50,2000,-5.53067159021409
R_00x10y,c50,4000,-5.068958467377312
R_00x10y,c50,8000,-2.3271633386284583
R_00x10y,c80,63,-2.6337713258520417
R_00x10y,c80,125,-7.090397241596589
R_00x10y,c80,250,-4.217077066737869
R_00x10y,c80,500,-2.494013123048484
R_00x10y,c80,1000,-2.0343626662397236
R_00x10y,c80,2000,-2.543899485072969
R_00x10y,c80,4000,-1.1679023960507129
R_00x10y,c80,8000,1.8331886167359948
R_00x15y,edt,63,1.9920288577540248
R_00x15y,edt,125,11.866702538918558
R_00x15y,edt,250,2.099822911267301
R_00x15y,edt,500,2.124835392795511
R_00x15y,edt,1000,1.7551152347485939
R_00x15y,edt,2000,1.941274343738613
R_00x15y,edt,4000,1.6448812253162783
R_00x15y,edt,8000,1.0742477022361903
R_00x15y,t20,63,2.7238082079362136
R_00x15y,t20,125,6.3812859333285346
R_00x15y,t20,250,2.3712355427550182
R_00x15y,t20,500,1.9895945529124945
R_00x15y,t20,1000,1.83257503678486
R_00x15y,t20,2000,2.00129060501174
R_00x15y,t20,4000,1.7332332728386675
R_00x15y,t20,8000,1.170486746585004
R_00x15y,c50,63,-13.086291909679435
R_00x15y,c50,125,-13.258214413109673
R_00x15y,c50,250,-6.925410391085056
R_00x15y,c50,500,-6.344794309627094
R_00x15y,c50,1000,-5.685359469662043
R_00x15y,c50,2000,-5.511354607399167
R_00x15y,c50,4000,-4.247015133746383
R_00x15y,c50,8000,-2.4435537465475825
R_00x15y,c80,63,-2.9036800824057125
R_00x15y,c80,125,-4.934672531313204
R_00x15y,c80,250,-0.9298016760021642
R_00x15y,c80,500,-1.453474343458725
R_00x15y,c80,1000,-2.5202131408847093
R_00x15y,c80,2000,-2.457739516601168
R_00x15y,c80,4000,-0.9342951834158162
R_00x15y,c80,8000,1.0486917450226796
R_00x20y,edt,63,2.1457631500794134
R_00x20y,edt,125,9.882089774391556
R_00x20y,edt,250,2.250474097476301
R_00x20y,edt,500,1.927797778604206
R_00x20y,edt,1000,1.8909802202744295
R_00x20y,edt,2000,1.9503309476696495
R_00x20y,edt,4000,1.703975008769205
R_00x20y,edt,8000,1.057711670813734
R_00x20y,t20,63,2.7314456450549325
R_00x20y,t20,125,5.643971212346544
R_00x20y,t20,250,2.211440041572608
R_00x20y,t20,500,2.1185543566886302
R_00x20y,t20,1000,1.8779081891794835
R_00x20y,t20,2000,2.0188694891591314
R_00x20y,t20,4000,1.7492404436901166
R_00x20y,t20,8000,1.1546544929687
R_00x20y,c50,63,-10.984472799442662
R_00x20y,c50,125,-11.911986589082977
R_00x20y,c50,250,-7.348615848640353
R_00x20y,c50,500,-7.042901836889962
R_00x20y,c50,1000,-6.139815680575084
R_00x20y,c50,2000,-5.659412617438765
R_00x20y,c50,4000,-4.070345115338019
R_00x20y,c50,8000,-2.1713195240200283
R_00x20y,c80,63,-3.3488787355543197
R_00x20y,c80,125,-4.246020521246624
R_00x20y,c80,250,-3.4803774261958162
R_00x20y,c80,500,-3.6338167252618687
R_00x20y,c80,1000,-2.257073810122753
R_00x20y,c80,2000,-2.8990931070041843
R_00x20y,c80,4000,-1.1293396928356123
R_00x20y,c80,8000,2.04562188506043
R_00x25y,edt,63,2.271700093444056
R_00x25y,edt,125,9.469603664947812
R_00x25y,edt,250,2.094139694016552
R_00x25y,edt,500,1.9154561442593703
R_00x25y,edt,1000,1.6425631532441236
R_00x25y,edt,2000,1.9502856929033063
R_00x25y,edt,4000,1.6315834151711934
R_00x25y,edt,8000,1.0534217918709647
R_00x25y,t20,63,2.895390771640528
R_00x25y,t20,125,6.5462944453486145
R_00x25y,t20,250,2.1598684840900515
R_00x25y,t20,500,2.1155536465651696
R_00x25y,t20,1000,1.9185202507240102
R_00x25y,t20,2000,1.997023724722916
R_00x25y,t20,4000,1.7415934483244773
R_00x25y,t20,8000,1.1668128389852652
R_00x25y,c50,63,-9.77911168395988
R_00x25y,c50,125,-10.543997462102507
R_00x25y,c50,250,-8.050376871844609
R_00x25y,c50,500,-6.7791207581943125
R_00x25y,c50,1000,-6.147614916660846
R_00x25y,c50,2000,-5.196208399273589
R_00x25y,c50,4000,-2.971598546985799
R_00x25y,c50,8000,-1.7380331430213691
R_00x25y,c80,63,-4.399658199789495
R_00x25y,c80,125,-6.938309521385902
R_00x25y,c80,250,-3.684795990768108
R_00x25y,c80,500,-2.87698304327684
R_00x25y,c80,1000,-2.1005674223775834
R_00x25y,c80,2000,-2.6504190888904784
R_00x25y,c80,4000,-0.4806013815903679
R_00x25y,c80,8000,2.0750109811076207
R_00x30y,edt,63,2.2297941582073206
R_00x30y,edt,125,10.83553803115873
R_00x30y,edt,250,2.330266378435391
R_00x30y,edt,500,2.143735025225344
R_00x30y,edt,1000,1.7383993766596293
R_00x30y,edt,2000,1.9458239303676323
R_00x30y,edt,4000,1.6812055415320604
R_00x30y,edt,8000,1.0213160258201561
R_00x30y,t20,63,3.068295585953892
R_00x30y,t20,125,7.197256486838477
R_00x30y,t20,250,2.0462466447731336
R_00x30y,t20,500,1.9667991958668019
R_00x30y,t20,1000,1.869656501226628
R_00x30y,t20,2000,2.040875755281984
R_00x30y,t20,4000,1.6804034900389708
R_00x30y,t20,8000,1.1553870141646847
R_00x30y,c50,63,-11.659541972665693
R_00x30y,c50,125,-5.622766834435607
R_00x30y,c50,250,-6.815611656485928
R_00x30y,c50,500,-7.4806935330536914
R_00x30y,c50,1000,-5.509062034396802
R_00x30y,c50,2000,-5.465062706021921
R_00x30y,c50,4000,-5.175455898282672
R_00x30y,c50,8000,-0.9388017573289625
R_00x30y,c80,63,-7.619003140390915
R_00x30y,c80,125,-4.379811068637
R_00x30y,c80,250,-2.961487376828489
R_00x30y,c80,500,-3.959646102581942
R_00x30y,c80,1000,-2.494947347261121
